h = 0.01, √1.0 ≈ 0.4987562112089027, erro = -0.0012437887910973222
h = 0.001, √1.0 ≈ 0.49987506246096475, erro = -0.0001249375390352525
h = 0.0001, √1.0 ≈ 0.49998750062496095, erro = -1.2499375039054517e-5
h = 9.999999999999999e-6, √1.0 ≈ 0.49999875000625, erro = -1.2499937500076719e-6
h = 1.0e-6, √1.0 ≈ 0.49999987500006243, erro = -1.249999375674271e-7
h = 1.0e-7, √1.0 ≈ 0.49999998750000063, erro = -1.24999993689201e-8
h = 1.0e-8, √1.0 ≈ 0.49999999875, erro = -1.2499999924031613e-9
h = 1.0e-9, √1.0 ≈ 0.499999999875, erro = -1.2500001034254637e-10
h = 1.0e-10, √1.0 ≈ 0.4999999999875, erro = -1.2500001034254637e-11
h = 1.0000000000000001e-11, √1.0 ≈ 0.49999999999875, erro = -1.2500001034254637e-12
h = 1.0e-12, √1.0 ≈ 0.499999999999875, erro = -1.2501111257279263e-13
h = 1.0e-13, √1.0 ≈ 0.49999999999998757, erro = -1.2434497875801753e-14
h = 1.0e-14, √1.0 ≈ 0.4999999999999988, erro = -1.2212453270876722e-15
h = 1.0e-15, √1.0 ≈ 0.4999999999999999, erro = -1.1102230246251565e-16
