F_3 = 2, Diferença F_3 = 0.0
F_4 = 3, Diferença F_4 = 0.0
F_5 = 5, Diferença F_5 = 8.881784197001252e-16
F_6 = 8, Diferença F_6 = 1.7763568394002505e-15
F_7 = 13, Diferença F_7 = 1.7763568394002505e-15
F_8 = 21, Diferença F_8 = 3.552713678800501e-15
F_9 = 34, Diferença F_9 = 7.105427357601002e-15
F_10 = 55, Diferença F_10 = 1.4210854715202004e-14
F_11 = 89, Diferença F_11 = 2.842170943040401e-14
F_12 = 144, Diferença F_12 = 5.684341886080802e-14
F_13 = 233, Diferença F_13 = 5.684341886080802e-14
F_14 = 377, Diferença F_14 = 1.7053025658242404e-13
F_15 = 610, Diferença F_15 = 3.410605131648481e-13
F_16 = 987, Diferença F_16 = 4.547473508864641e-13
F_17 = 1597, Diferença F_17 = 9.094947017729282e-13
F_18 = 2584, Diferença F_18 = 1.8189894035458565e-12
F_19 = 4181, Diferença F_19 = 2.7284841053187847e-12
F_20 = 6765, Diferença F_20 = 4.547473508864641e-12
F_21 = 10946, Diferença F_21 = 7.275957614183426e-12
F_22 = 17711, Diferença F_22 = 1.0913936421275139e-11
F_23 = 28657, Diferença F_23 = 2.1827872842550278e-11
F_24 = 46368, Diferença F_24 = 3.637978807091713e-11
F_25 = 75025, Diferença F_25 = 5.820766091346741e-11
F_26 = 121393, Diferença F_26 = 8.731149137020111e-11
F_27 = 196418, Diferença F_27 = 1.7462298274040222e-10
F_28 = 317811, Diferença F_28 = 2.9103830456733704e-10
F_29 = 514229, Diferença F_29 = 4.656612873077393e-10
F_30 = 832040, Diferença F_30 = 8.149072527885437e-10
F_31 = 1346269, Diferença F_31 = 1.1641532182693481e-9
F_32 = 2178309, Diferença F_32 = 2.3283064365386963e-9
F_33 = 3524578, Diferença F_33 = 3.725290298461914e-9
F_34 = 5702887, Diferença F_34 = 6.51925802230835e-9
F_35 = 9227465, Diferença F_35 = 1.1175870895385742e-8
F_36 = 14930352, Diferença F_36 = 1.862645149230957e-8
F_37 = 24157817, Diferença F_37 = 2.9802322387695312e-8
F_38 = 39088169, Diferença F_38 = 4.470348358154297e-8
F_39 = 63245986, Diferença F_39 = 6.705522537231445e-8
F_40 = 102334155, Diferença F_40 = 1.341104507446289e-7
F_41 = 165580141, Diferença F_41 = 2.086162567138672e-7
F_42 = 267914296, Diferença F_42 = 3.5762786865234375e-7
F_43 = 433494437, Diferença F_43 = 5.960464477539062e-7
F_44 = 701408733, Diferença F_44 = 1.0728836059570312e-6
F_45 = 1134903170, Diferença F_45 = 1.6689300537109375e-6
F_46 = 1836311903, Diferença F_46 = 2.6226043701171875e-6
F_47 = 2971215073, Diferença F_47 = 4.76837158203125e-6
F_48 = 4807526976, Diferença F_48 = 7.62939453125e-6
F_49 = 7778742049, Diferença F_49 = 1.33514404296875e-5
F_50 = 12586269025, Diferença F_50 = 1.9073486328125e-5
F_51 = 20365011074, Diferença F_51 = 3.4332275390625e-5
F_52 = 32951280099, Diferença F_52 = 5.340576171875e-5
F_53 = 53316291173, Diferença F_53 = 9.1552734375e-5
F_54 = 86267571272, Diferença F_54 = 0.000152587890625
F_55 = 139583862445, Diferença F_55 = 0.000274658203125
F_56 = 225851433717, Diferença F_56 = 0.00042724609375
F_57 = 365435296162, Diferença F_57 = 0.00067138671875
F_58 = 591286729879, Diferença F_58 = 0.0010986328125
F_59 = 956722026041, Diferença F_59 = 0.0018310546875
F_60 = 1548008755920, Diferença F_60 = 0.0029296875
F_61 = 2504730781961, Diferença F_61 = 0.0048828125
F_62 = 4052739537881, Diferença F_62 = 0.00830078125
F_63 = 6557470319842, Diferença F_63 = 0.013671875
F_64 = 10610209857723, Diferença F_64 = 0.021484375
F_65 = 17167680177565, Diferença F_65 = 0.037109375
F_66 = 27777890035288, Diferença F_66 = 0.0625
F_67 = 44945570212853, Diferença F_67 = 0.09375
F_68 = 72723460248141, Diferença F_68 = 0.171875
F_69 = 117669030460994, Diferença F_69 = 0.28125
F_70 = 190392490709135, Diferença F_70 = 0.4375
F_71 = 308061521170129, Diferença F_71 = 0.6875
F_72 = 498454011879264, Diferença F_72 = 1.1875
F_73 = 806515533049393, Diferença F_73 = 2.0
F_74 = 1304969544928657, Diferença F_74 = 3.0
F_75 = 2111485077978050, Diferença F_75 = 5.25
F_76 = 3416454622906707, Diferença F_76 = 8.5
F_77 = 5527939700884757, Diferença F_77 = 14.0
F_78 = 8944394323791464, Diferença F_78 = 24.0
F_79 = 14472334024676221, Diferença F_79 = 40.0
F_80 = 23416728348467685, Diferença F_80 = 64.0
F_81 = 37889062373143906, Diferença F_81 = 104.0
F_82 = 61305790721611591, Diferença F_82 = 160.0
F_83 = 99194853094755497, Diferença F_83 = 272.0
F_84 = 160500643816367088, Diferença F_84 = 448.0
F_85 = 259695496911122585, Diferença F_85 = 736.0
F_86 = 420196140727489673, Diferença F_86 = 1216.0
F_87 = 679891637638612258, Diferença F_87 = 2048.0
F_88 = 1100087778366101931, Diferença F_88 = 3200.0
F_89 = 1779979416004714189, Diferença F_89 = 5120.0
F_90 = 2880067194370816120, Diferença F_90 = 8192.0
F_91 = 4660046610375530309, Diferença F_91 = 14336.0
F_92 = 7540113804746346429, Diferença F_92 = 22528.0
F_93 = -6246583658587674878, Diferença F_93 = 1.844674407370959e19
